temp_c,intensity_cps
25.6,88.71
28.1,115.23
30.2,142.26
32.2,174.58
32.6,180.41
31.4,161.17
33.3,193.95
35,228.57
36.8,273.32
37.7,296.62
36.8,273.32
38.9,331.72
40.3,380.9
41.5,423.11
41.6,430.29
42.6,469.61
44,535.81
45.3,602.25
46.1,646.36
47.1,705.35
48.3,788.62
49.3,860.84
50.3,939.04
51.4,1035.25
52.5,1132.5
53.4,1229.51
54.6,1360.13
55.6,1478.13
56.6,1603.87
57.8,1763.49
58.8,1916.66
59.8,2078.09
61,2283.76
62,2469.74
63,2674.89
64.1,2925.75
65.1,3148.18
66.1,3399.89
67.3,3698.04
68.3,3973.67
69.3,4281.02
70.5,4649.52
71.5,5000.56
72.5,5345.95
73.6,5762.78
74.6,6154.14
75.6,6568.25
76.8,7098.84
77.8,7549.57
78.8,8008.24
79.9,8563.02
80.9,9086.85
81.9,9610.77
83.1,10241.1
84.1,10798.38
85.1,11365.79
86.3,12004.14
87.3,12585.33
88.3,13157.36
89.4,13803.76
90.4,14376.81
91.4,14931.36
92.5,15552.44
93.5,16081.03
94.5,16602.44
95.7,17199.15
96.7,17668.08
97.7,18094.88
98.9,18572.49
99.8,18927.63
100.8,19249.38
102,19591.97
103.1,19829.3
104,20012.32
105.2,20182.47
106.3,20272.79
107.3,20314.1
108.5,20301.49
109.5,20239.99
110.5,20137.72
111.7,19952.74
112.7,19764.96
113.7,19525.51
115,19195.77
116,18887.99
117,18566.43
118.2,18153.87
119.2,17765.19
120.2,17383.66
121.3,16929.63
122.3,16527.18
123.3,16115.67
124.5,15631.19
125.5,15223.12
126.5,14810.72
127.6,14344.68
128.6,13964.83
129.5,13599.11
130.8,13143.31
131.7,12796.38
132.8,12458.77
134,12077.31
134.9,11786.16
135.9,11511.58
137.1,11220.64
138.1,10986.1
139.1,10777.81
140.3,10557.87
141.3,10398.77
142.3,10254.61
143.5,10119.35
144.5,10026.71
145.5,9957.83
146.7,9898.98
147.7,9875.4
148.7,9871.26
150,9892.85
151,9931.2
152,9986.64
153.1,10063.95
154.1,10147.25
155.1,10248.51
156.1,10369.67
157.1,10493.15
158.1,10624.87
159.3,10789.71
160.3,10937.45
161.3,11093.63
162.4,11283.05
163.5,11446.31
164.5,11613.9
165.8,11821.94
166.7,11975.67
167.7,12128.22
168.8,12298.31
169.8,12450.45
170.8,12593.47
172,12757.36
173,12882.08
174,12998.03
175.1,13125.52
176.1,13227.46
177.1,13317.58
178.4,13428.67
179.4,13501.82
180.4,13569.83
181.6,13648.96
182.6,13705.09
183.6,13754.73
184.9,13817.83
185.9,13860.29
186.9,13903.45
187.9,13950.48
189,13996.41
190,14045.52
191.2,14106
192.2,14163.22
193.2,14222.76
194.4,14302.09
195.4,14376.57
196.4,14457.39
197.6,14562.48
198.6,14661.78
199.6,14769.07
200.8,14901.99
201.7,15022.04
202.8,15152.7
204,15316.2
204.9,15449.69
205.9,15592.99
207,15765.14
208.1,15923.03
209.1,16075.36
210.2,16243.22
211.2,16397.5
212.3,16548.43
213.3,16691.23
214.4,16821.74
215.4,16943.58
216.5,17063.76
217.5,17153.76
218.5,17232.5
219.7,17307.3
220.6,17348.44
221.6,17372.94
222.8,17376.67
223.8,17358.29
224.7,17323.36
225.8,17253.02
226.9,17163.27
228,17038.12
229.1,16896.02
230.1,16739.59
231.1,16560.06
232.2,16340.73
233.2,16120.69
234.2,15894.35
235.4,15580.49
236.4,15313.65
237.3,15035.74
238.5,14692.6
239.4,14388.91
240.5,14052.16
241.7,13627.1
242.7,13302.18
243.6,12978.97
244.7,12598.02
245.8,12198.77
246.8,11851.47
247.9,11438.18
248.9,11072.53
249.9,10726.47
251.1,10311.49
252,9971.65
253,9611.52
254.2,9215.89
255.2,8871.45
256.2,8550.11
257.4,8168.03
258.3,7864.79
259.4,7556.51
260.6,7185.44
261.5,6915.5
262.4,6661.23
263.6,6335.68
264.6,6081.96
265.7,5808.58
266.9,5518.55
267.8,5296.06
268.8,5063.13
270,4808.82
271,4602.6
272,4400.18
273.2,4160.14
274.2,3980.61
275.2,3801.18
276.4,3602.59
277.4,3443.68
278.3,3291.33
279.6,3107.64
280.5,2974.92
281.4,2855.58
282.5,2715.4
284.5,2473.19
285.5,2366.76
286.6,2242.65
287.6,2136.95
288.6,2039.06
289.8,1930.18
290.8,1847.8
291.8,1762.31
293,1665.91
294,1588.16
294.9,1520.47
296.1,1438.12
297.1,1371.16
298.1,1310.43
299.4,1235.65
300.4,1181.62
301.3,1132.64
302.5,1071.25
303.5,1021.77
304.5,974.21
306,910.69
307,868.48
308,831.75
309,795.17
