temp_c,intensity_cps
25.6,0.04
28.1,0.05
30.2,0.07
32.2,0.09
32.6,0.1
31.4,0.08
33.3,0.11
35,0.13
36.8,0.17
37.7,0.19
36.8,0.17
38.9,0.22
40.3,0.26
41.5,0.3
41.6,0.31
42.6,0.35
44,0.41
45.3,0.48
46.1,0.53
47.1,0.59
48.3,0.69
49.3,0.77
50.3,0.87
51.4,0.99
52.5,1.12
53.4,1.25
54.6,1.43
55.6,1.6
56.6,1.79
57.8,2.03
58.8,2.28
59.8,2.54
61,2.89
62,3.22
63,3.6
64.1,4.08
65.1,4.52
66.1,5.04
67.3,5.69
68.3,6.3
69.3,7.02
70.5,7.92
71.5,8.82
72.5,9.74
73.6,10.91
74.6,12.06
75.6,13.34
76.8,15.07
77.8,16.64
78.8,18.31
79.9,20.47
80.9,22.63
81.9,24.95
83.1,27.93
84.1,30.77
85.1,33.89
86.3,37.69
87.3,41.45
88.3,45.48
89.4,50.49
90.4,55.39
91.4,60.62
92.5,67.17
93.5,73.43
94.5,80.39
95.7,89.55
96.7,97.92
97.7,106.73
98.9,118.45
99.8,128.98
100.8,140.49
102,156.03
103.1,170.21
104,184.79
105.2,204.83
106.3,223.27
107.3,242.83
108.5,269.08
109.5,292.56
110.5,317.14
111.7,350.69
112.7,379.43
113.7,412.62
115,455.32
116,493.75
117,533.44
118.2,584.61
119.2,633.8
120.2,683.55
121.3,745.27
122.3,802.8
123.3,864.92
124.5,943.14
125.5,1014.04
126.5,1091.19
127.6,1186.24
128.6,1271.03
129.5,1360.05
130.8,1483.23
131.7,1588.06
132.8,1701.4
134,1846.25
134.9,1971.96
135.9,2105.95
137.1,2269.2
138.1,2422.04
139.1,2579.52
140.3,2777.26
141.3,2949.9
142.3,3139.61
143.5,3365.37
144.5,3568.96
145.5,3774.07
146.7,4048.46
147.7,4274.43
148.7,4493.11
150,4802.44
151,5053.89
152,5308.12
153.1,5584.91
154.1,5834.4
155.1,6099.46
156.1,6382
157.1,6643.86
158.1,6902.33
159.3,7203.08
160.3,7455.76
161.3,7708.73
162.4,7998.99
163.5,8236.29
164.5,8468.54
165.8,8741.57
166.7,8932.48
167.7,9112.51
168.8,9301.41
169.8,9458.67
170.8,9595
172,9734.98
173,9827.44
174,9899.89
175.1,9960.68
176.1,9991.1
177.1,10000.59
178.4,9982.56
179.4,9947
180.4,9891.66
181.6,9792.34
182.6,9693.17
183.6,9581.5
184.9,9403.36
185.9,9260.43
186.9,9098.4
187.9,8907.71
189,8713.95
190,8505.82
191.2,8256.46
192.2,8032.58
193.2,7813.96
194.4,7545.14
195.4,7313.87
196.4,7082.94
197.6,6808.86
198.6,6572.36
199.6,6336.91
200.8,6068.83
201.7,5845.1
202.8,5617.81
204,5352.91
204.9,5149.8
205.9,4942.58
207,4705.72
208.1,4497.74
209.1,4303.56
210.2,4094.91
211.2,3906.12
212.3,3722.18
213.3,3546.64
214.4,3382.5
215.4,3223.04
216.5,3055.16
217.5,2917.2
218.5,2780.57
219.7,2621.19
220.6,2500.55
221.6,2380.21
222.8,2248.34
223.8,2141.3
224.7,2047.17
225.8,1932.54
226.9,1833.19
228,1730.83
229.1,1640.59
230.1,1559.64
231.1,1481.82
232.2,1401.39
233.2,1332
234.2,1269.22
235.4,1192.9
236.4,1135.49
237.3,1081.39
238.5,1021.03
239.4,972.42
240.5,922.86
241.7,865.71
242.7,825.43
243.6,787.85
244.7,746.34
245.8,705.65
246.8,672.3
247.9,634.79
248.9,603.37
249.9,574.99
251.1,542.54
252,517.12
253,491.22
254.2,463.89
255.2,440.98
256.2,420.29
257.4,396.48
258.3,378.15
259.4,360
260.6,338.76
261.5,323.7
262.4,309.79
263.6,292.36
264.6,279.05
265.7,264.97
266.9,250.31
267.8,239.24
268.8,227.82
270,215.53
271,205.69
272,196.14
273.2,184.95
274.2,176.67
275.2,168.47
276.4,159.48
277.4,152.33
278.3,145.53
279.6,137.39
280.5,131.54
281.4,126.31
282.5,120.19
284.5,109.68
285.5,105.09
286.6,99.75
287.6,95.21
288.6,91.02
289.8,86.37
290.8,82.86
291.8,79.22
293,75.12
294,71.82
294.9,68.95
296.1,65.45
297.1,62.61
298.1,60.03
299.4,56.86
300.4,54.57
301.3,52.49
302.5,49.88
303.5,47.78
304.5,45.76
306,43.06
307,41.27
308,39.7
309,38.14
310,36.61
310.9,35.21
312,33.8
313,32.45
314,31.21
315,30.01
316,28.9
317,27.83
318,26.79
319,25.78
319.9,24.95
320.8,24.14
321.8,23.26
323,22.32
324,21.55
325.2,20.72
326.1,20.05
327.1,19.41
328.3,18.67
329.3,18.1
330.3,17.57
331.2,17.07
332.3,16.56
333.3,16.07
334.3,15.63
335.3,15.23
336.3,14.86
337.3,14.49
338.3,14.16
339.4,13.8
340.4,13.52
341.4,13.25
342.6,12.97
343.6,12.75
344.6,12.56
345.7,12.36
346.7,12.21
347.7,12.08
348.9,11.93
349.9,11.84
350.9,11.77
352,11.71
353,11.67
354,11.66
355.2,11.66
356.2,11.69
357.1,11.73
358.2,11.8
359.2,11.88
360.2,11.98
361.4,12.13
362.4,12.28
363.4,12.44
364.6,12.65
365.5,12.86
366.6,13.09
367.8,13.39
368.8,13.67
369.8,13.97
370.9,14.33
371.8,14.67
372.8,15.04
374.1,15.55
375.1,15.97
376,16.39
377.2,16.97
378.2,17.47
379.2,18.02
380.5,18.77
381.4,19.36
382.4,19.99
383.4,20.71
384.4,21.41
385.4,22.14
386.4,22.94
387.4,23.74
388.4,24.64
389.4,25.53
390.3,26.47
391.4,27.58
392.4,28.63
393.5,29.78
394.7,31.16
395.6,32.28
396.5,33.49
397.7,35
398.7,36.39
399.7,37.87
