temp_K,intensity_cps
293.15,49.1
294.15,54.7
295.15,60.9
296.15,67.7
297.15,75.2
298.15,83.5
299.15,92.7
300.15,102.8
301.15,113.8
302.15,126.1
303.15,139.5
304.15,154.2
305.15,170.4
306.15,188.1
307.15,207.6
308.15,228.9
309.15,252.2
310.15,277.8
311.15,305.7
312.15,336.1
313.15,369.4
314.15,405.7
315.15,445.3
316.15,488.4
317.15,535.3
318.15,586.3
319.15,641.8
320.15,702.1
321.15,767.5
322.15,838.4
323.15,915.2
324.15,998.4
325.15,1088.4
326.15,1185.7
327.15,1290.7
328.15,1404.1
329.15,1526.2
330.15,1657.8
331.15,1799.4
332.15,1951.5
333.15,2114.8
334.15,2289.9
335.15,2477.6
336.15,2678.3
337.15,2892.8
338.15,3121.7
339.15,3365.6
340.15,3625.1
341.15,3901.0
342.15,4193.6
343.15,4503.5
344.15,4831.1
345.15,5176.9
346.15,5541.2
347.15,5924.1
348.15,6325.7
349.15,6746.1
350.15,7184.9
351.15,7642.0
352.15,8116.7
353.15,8608.4
354.15,9116.2
355.15,9638.8
356.15,10175.1
357.15,10723.3
358.15,11281.6
359.15,11848.0
360.15,12420.1
361.15,12995.3
362.15,13570.8
363.15,14143.6
364.15,14710.6
365.15,15268.4
366.15,15813.4
367.15,16342.4
368.15,16851.5
369.15,17337.3
370.15,17796.4
371.15,18225.3
372.15,18621.0
373.15,18980.4
374.15,19301.0
375.15,19580.5
376.15,19816.8
377.15,20008.6
378.15,20154.6
379.15,20254.4
380.15,20307.7
381.15,20314.9
382.15,20276.8
383.15,20194.6
384.15,20069.8
385.15,19904.7
386.15,19701.4
387.15,19462.7
388.15,19191.4
389.15,18890.7
390.15,18563.9
391.15,18214.3
392.15,17845.2
393.15,17460.3
394.15,17062.7
395.15,16655.9
396.15,16243.1
397.15,15827.4
398.15,15411.6
399.15,14998.7
400.15,14591.1
401.15,14191.3
402.15,13801.4
403.15,13423.5
404.15,13059.4
405.15,12710.6
406.15,12378.6
407.15,12064.5
408.15,11769.6
409.15,11494.5
410.15,11240.1
411.15,11006.9
412.15,10795.4
413.15,10605.7
414.15,10438.2
415.15,10292.7
416.15,10169.3
417.15,10067.7
418.15,9987.7
419.15,9928.8
420.15,9890.6
421.15,9872.5
422.15,9873.8
423.15,9893.7
424.15,9931.5
425.15,9986.1
426.15,10056.7
427.15,10142.1
428.15,10241.1
429.15,10352.7
430.15,10475.4
431.15,10608.1
432.15,10749.4
433.15,10897.9
434.15,11052.1
435.15,11210.8
436.15,11372.6
437.15,11535.9
438.15,11699.6
439.15,11862.3
440.15,12022.7
441.15,12179.9
442.15,12332.6
443.15,12479.9
444.15,12621.1
445.15,12755.3
446.15,12882.2
447.15,13001.1
448.15,13112.0
449.15,13214.6
450.15,13309.0
451.15,13395.5
452.15,13474.2
453.15,13545.8
454.15,13610.9
455.15,13670.1
456.15,13724.3
457.15,13774.3
458.15,13821.2
459.15,13866.1
460.15,13909.9
461.15,13953.7
462.15,13998.7
463.15,14045.8
464.15,14096.0
465.15,14150.4
466.15,14209.8
467.15,14274.9
468.15,14346.4
469.15,14424.8
470.15,14510.7
471.15,14604.2
472.15,14705.4
473.15,14814.5
474.15,14931.0
475.15,15054.8
476.15,15185.4
477.15,15321.9
478.15,15463.7
479.15,15609.8
480.15,15759.0
481.15,15910.1
482.15,16061.9
483.15,16212.8
484.15,16361.3
485.15,16505.9
486.15,16644.9
487.15,16776.5
488.15,16899.3
489.15,17011.4
490.15,17111.3
491.15,17197.5
492.15,17268.5
493.15,17322.8
494.15,17359.3
495.15,17376.9
496.15,17374.6
497.15,17351.6
498.15,17307.3
499.15,17241.2
500.15,17153.2
501.15,17043.2
502.15,16911.3
503.15,16757.8
504.15,16583.1
505.15,16388.0
506.15,16173.2
507.15,15939.7
508.15,15688.5
509.15,15420.7
510.15,15137.6
511.15,14840.5
512.15,14530.8
513.15,14209.8
514.15,13879.0
515.15,13539.9
516.15,13193.7
517.15,12842.0
518.15,12486.0
519.15,12127.0
520.15,11766.4
521.15,11405.2
